x,y,z
-2.0,0,-2.043994226738711
-1.9224030037546933,0,1.9408312225393392
-1.8448060075093866,0,5.9257637729702735
-1.7672090112640801,0,2.0012961496361523
-1.6896120150187734,0,5.895638410574196
-1.6120150187734668,0,-2.043994226738711
-1.5344180225281603,0,-2.043994226738711
-1.4568210262828536,0,-2.043994226738711
-1.379224030037547,0,-2.043994226738711
-1.3016270337922402,0,1.8209118444403147
-1.2240300375469335,0,-2.043994226738711
-1.146433041301627,0,-2.043994226738711
-1.0688360450563203,0,-2.043994226738711
-0.9912390488110137,0,2.151340890130144
-0.9136420525657072,0,5.745593670079094
-0.8360450563204005,0,5.955996236518125
-0.7584480600750938,0,5.955996236518125
-0.6808510638297871,0,-2.043994226738711
-0.6032540675844804,0,-1.7736319712512785
-0.5256570713391739,0,2.241425941575734
-0.44806007509386725,0,-2.043994226738711
-0.37046307884856056,0,-2.043994226738711
-0.2928660826032541,0,-1.713526764329889
-0.2152690863579474,0,1.610576858096084
-0.1376720901126407,0,5.955996236518125
-0.060075093867334006,0,29.955996236518125
0.017521902377972687,0,53.955996236518125
0.09511889862327916,0,77.95599623651813
0.17271589486858563,0,101.95599623651813
0.25031289111389254,0,125.95599623651813
0.327909887359199,0,134.4065373272061
0.40550688360450593,0,157.95599623651813
0.4831038798498124,0,149.95599623651813
0.5607008760951189,0,141.95599623651813
0.6382978723404258,0,133.95599623651813
0.7158948685857323,0,133.95599623651813
0.7934918648310392,0,125.95599623651813
0.8710888610763456,0,141.95599623651813
0.9486858573216521,0,165.38525278391975
1.026282853566959,0,181.95599623651813
1.1038798498122655,0,197.95599623651813
1.181476846057572,0,217.34006468645777
1.2590738423028789,0,237.32500198730526
1.3366708385481854,0,245.95599623651813
1.4142678347934918,0,261.9559962365181
1.4918648310387987,0,253.95599623651813
1.5694618272841052,0,245.95599623651813
1.6470588235294121,0,237.95599623651813
1.7246558197747186,0,230.676784608478
1.802252816020025,0,229.95599623651813
1.879849812265332,0,253.20508246625104
1.9574468085106385,0,261.9559962365181
2.0350438047559454,0,277.9559962365181
2.112640801001252,0,290.7520981042472
2.1902377972465583,0,301.9559962365181
2.267834793491865,0,317.9559962365181
2.3454317897371713,0,325.9559962365181
2.4230287859824786,0,341.9559962365181
2.500625782227785,0,333.9559962365181
2.5782227784730916,0,330.8424742991711
2.655819774718398,0,317.9559962365181
