x,y,z,c,time_ms,drive_voltage_V,L_didt_V,current_A
0.0,20.0,0.00029890230329951986,0.0,0.0,20.0,0.00029890230329951986,0.0
0.05,20.0,0.0003329480671909409,9.003081424684335e-05,0.05,20.0,0.0003329480671909409,9.003081424684335e-05
0.1,20.0,0.0003709986186324582,0.00019031637665375327,0.1,20.0,0.0003709986186324582,0.00019031637665375327
0.15000000000000002,20.0,0.0004135245466051983,0.0003020629485309997,0.15000000000000002,20.0,0.0004135245466051983,0.0003020629485309997
0.2,20.0,0.0004610517344098008,0.0004266185348578667,0.2,20.0,0.0004610517344098008,0.0004266185348578667
0.25,20.0,0.0005141678555860095,0.0005654895391981681,0.25,20.0,0.0005141678555860095,0.0005654895391981681
0.30000000000000004,20.0,0.0005735296326750151,0.0007203593752180505,0.30000000000000004,20.0,0.0005735296326750151,0.0007203593752180505
0.35,20.0,0.0006398709483358674,0.0008931092645779948,0.35,20.0,0.0006398709483358674,0.0008931092645779948
0.4,20.0,0.0007140119088123983,0.0010858414779321719,0.4,20.0,0.0007140119088123983,0.0010858414779321719
0.45000000000000007,20.0,0.0007968689714559713,0.0013009053058877136,0.45000000000000007,20.0,0.0007968689714559713,0.0013009053058877136
0.5,20.0,0.0008894662610836147,0.0015409260804226446,0.5,20.0,0.0008894662610836147,0.0015409260804226446
0.55,20.0,0.0009929482145486024,0.00180883760484542,0.55,20.0,0.0009929482145486024,0.00180883760484542
0.6000000000000001,20.0,0.0011085937091969695,0.0021079183923600592,0.6000000000000001,20.0,0.0011085937091969695,0.0021079183923600592
0.6500000000000001,20.0,0.001237831849074431,0.0024418321601904717,0.6500000000000001,20.0,0.001237831849074431,0.0024418321601904717
0.7,20.0,0.0013822596030510514,0.0028146730785863845,0.7,20.0,0.0013822596030510514,0.0028146730785863845
0.75,20.0,0.001543661511687866,0.003231016332517424,0.75,20.0,0.001543661511687866,0.003231016332517424
0.8,20.0,0.0017240317049487274,0.003695974619170396,0.8,20.0,0.0017240317049487274,0.003695974619170396
0.8500000000000001,20.0,0.0019255985010605142,0.004215261277287483,0.8500000000000001,20.0,0.0019255985010605142,0.004215261277287483
0.9000000000000001,20.0,0.0021508518882760973,0.0047952608257996856,0.9000000000000001,20.0,0.0021508518882760973,0.0047952608257996856
0.95,20.0,0.002402574226363438,0.005443107780099715,0.95,20.0,0.002402574226363438,0.005443107780099715
1.0,20.0,0.002683874543737281,0.006166774715751353,1.0,20.0,0.002683874543737281,0.006166774715751353
1.05,20.0,0.002998226849715058,0.0069751706626601725,1.05,20.0,0.002998226849715058,0.0069751706626601725
1.1,20.0,0.003349512929911556,0.00787825103908037,1.1,20.0,0.003349512929911556,0.00787825103908037
1.15,20.0,0.0037420701468338204,0.008887140475800718,1.15,20.0,0.0037420701468338204,0.008887140475800718
1.2000000000000002,20.0,0.004180744827899419,0.010014270038100062,1.2000000000000002,20.0,0.004180744827899419,0.010014270038100062
1.25,20.0,0.004670951890037351,0.011273530528431212,1.25,20.0,0.004670951890037351,0.011273530528431212
1.3000000000000003,20.0,0.005218741424465098,0.01268044374832198,1.3000000000000003,20.0,0.005218741424465098,0.01268044374832198
1.35,20.0,0.005830873047956794,0.01425235381593195,1.35,20.0,0.005830873047956794,0.01425235381593195
1.4,20.0,0.006514898918786728,0.016008640878569538,1.4,20.0,0.006514898918786728,0.016008640878569538
1.4500000000000002,20.0,0.007279256417482765,0.017970959830011325,1.4500000000000002,20.0,0.007279256417482765,0.017970959830011325
1.5,20.0,0.008133371605562932,0.020163506943710954,1.5,20.0,0.008133371605562932,0.020163506943710954
1.5500000000000003,20.0,0.009087774700639368,0.022613317668278104,1.5500000000000003,20.0,0.009087774700639368,0.022613317668278104
1.6,20.0,0.010154228944811891,0.025350599204615264,1.6,20.0,0.010154228944811891,0.025350599204615264
1.65,20.0,0.01134587439636418,0.028409101898835713,1.65,20.0,0.01134587439636418,0.028409101898835713
1.7000000000000002,20.0,0.012677388343702634,0.03182653394593336,1.7000000000000002,20.0,0.012677388343702634,0.03182653394593336
1.75,20.0,0.014165164226574599,0.03564502441090403,1.75,20.0,0.014165164226574599,0.03564502441090403
1.8000000000000003,20.0,0.015827511154226044,0.039911640141799994,1.8000000000000003,20.0,0.015827511154226044,0.039911640141799994
1.85,20.0,0.017684876334669527,0.044678962778615064,1.85,20.0,0.017684876334669527,0.044678962778615064
1.9,20.0,0.019760092974949822,0.05000573275893721,1.9,20.0,0.019760092974949822,0.05000573275893721
1.9500000000000002,20.0,0.022078656480445394,0.05595756799235583,1.9500000000000002,20.0,0.022078656480445394,0.05595756799235583
2.0,20.0,0.024669032072898,0.06260776572742974,2.0,20.0,0.024669032072898,0.06260776572742974
2.0500000000000003,20.0,0.027562997262838528,0.07003819707468817,2.0500000000000003,20.0,0.027562997262838528,0.07003819707468817
2.1,20.0,0.03079602295281851,0.07834030468397687,2.1,20.0,0.03079602295281851,0.07834030468397687
2.15,20.0,0.03440769731329961,0.08761621521193426,2.15,20.0,0.03440769731329961,0.08761621521193426
2.2,20.0,0.03844219696240339,0.09797997946292812,2.2,20.0,0.03844219696240339,0.09797997946292812
2.2500000000000004,20.0,0.04294881039224032,0.10955895445160384,2.2500000000000004,20.0,0.04294881039224032,0.10955895445160384
2.3,20.0,0.04798251901520786,0.12249534312396539,2.3,20.0,0.04798251901520786,0.12249534312396539
2.35,20.0,0.05360464164879958,0.13694790909240148,2.35,20.0,0.05360464164879958,0.13694790909240148
2.4000000000000004,20.0,0.05988354871030321,0.15309388549264233,2.4000000000000004,20.0,0.05988354871030321,0.15309388549264233
2.4499999999999997,20.0,0.06689545284375606,0.17113109895960113,2.4499999999999997,20.0,0.06689545284375606,0.17113109895960113
2.5,20.0,0.07472528313767866,0.191280331743865,2.5,20.0,0.07472528313767866,0.191280331743865
2.5500000000000003,20.0,0.08346765049609664,0.21378794714678026,2.5500000000000003,20.0,0.08346765049609664,0.21378794714678026
2.6000000000000005,20.0,0.09322791207443107,0.2389288057299419,2.6000000000000005,20.0,0.09322791207443107,0.2389288057299419
2.65,20.0,0.10412334295652084,0.2670095021379031,2.65,20.0,0.10412334295652084,0.2670095021379031
2.7,20.0,0.11628442339161796,0.2983719548356503,2.7,20.0,0.11628442339161796,0.2983719548356503
2.7500000000000004,20.0,0.12985624988288033,0.33339738356806536,2.7500000000000004,20.0,0.12985624988288033,0.33339738356806536
2.8,20.0,0.1450000781617204,0.37251071184604134,2.8,20.0,0.1450000781617204,0.37251071184604134
2.85,20.0,0.16189500552079414,0.4161854341839089,2.85,20.0,0.16189500552079414,0.4161854341839089
2.9000000000000004,20.0,0.18073979902056986,0.4649489900636662,2.9000000000000004,20.0,0.18073979902056986,0.4649489900636662
2.9499999999999997,20.0,0.2017548746181552,0.5193886885638378,2.9499999999999997,20.0,0.2017548746181552,0.5193886885638378
3.0,20.0,0.22518443015675496,0.5801582291114749,3.0,20.0,0.22518443015675496,0.5801582291114749
3.0500000000000003,20.0,0.25129873223750715,0.6479848647008589,3.0500000000000003,20.0,0.25129873223750715,0.6479848647008589
3.1000000000000005,20.0,0.2803965530805833,0.7236772539290237,3.1000000000000005,20.0,0.2803965530805833,0.7236772539290237
3.15,20.0,0.3128077483452633,0.808134047025585,3.15,20.0,0.3128077483452633,0.808134047025585
3.2,20.0,0.34889596026181835,0.9023532483343992,3.2,20.0,0.34889596026181835,0.9023532483343992
