x,y,z,c,time_ms,drive_voltage_V,current_A,dI_dt_A_per_s
0.0,20.0,0.0,1.8006162849368668,0.0,20.0,0.0,1.8006162849368668
0.05,20.0,9.003081424684335e-05,2.0057112481381982,0.05,20.0,9.003081424684335e-05,2.0057112481381982
0.1,20.0,0.00019031637665375327,2.2349314375449287,0.1,20.0,0.00019031637665375327,2.2349314375449287
0.15000000000000002,20.0,0.0003020629485309997,2.4911117265373393,0.15000000000000002,20.0,0.0003020629485309997,2.4911117265373393
0.2,20.0,0.0004266185348578667,2.777420086806029,0.2,20.0,0.0004266185348578667,2.777420086806029
0.25,20.0,0.0005654895391981681,3.097396720397648,0.25,20.0,0.0005654895391981681,3.097396720397648
0.30000000000000004,20.0,0.0007203593752180505,3.454997787198886,0.30000000000000004,20.0,0.0007203593752180505,3.454997787198886
0.35,20.0,0.0008931092645779948,3.8546442670835384,0.35,20.0,0.0008931092645779948,3.8546442670835384
0.4,20.0,0.0010858414779321719,4.301276559110834,0.4,20.0,0.0010858414779321719,4.301276559110834
0.45000000000000007,20.0,0.0013009053058877136,4.800415490698622,0.45000000000000007,20.0,0.0013009053058877136,4.800415490698622
0.5,20.0,0.0015409260804226446,5.3582304884555105,0.5,20.0,0.0015409260804226446,5.3582304884555105
0.55,20.0,0.00180883760484542,5.981615750292786,0.55,20.0,0.00180883760484542,5.981615750292786
0.6000000000000001,20.0,0.0021079183923600592,6.678275356608251,0.6000000000000001,20.0,0.0021079183923600592,6.678275356608251
0.6500000000000001,20.0,0.0024418321601904717,7.45681836791826,0.6500000000000001,20.0,0.0024418321601904717,7.45681836791826
0.7,20.0,0.0028146730785863845,8.326865078620791,0.7,20.0,0.0028146730785863845,8.326865078620791
0.75,20.0,0.003231016332517424,9.299165733059434,0.75,20.0,0.003231016332517424,9.299165733059434
0.8,20.0,0.003695974619170396,10.385733162341731,0.8,20.0,0.003695974619170396,10.385733162341731
0.8500000000000001,20.0,0.004215261277287483,11.599990970244061,0.8500000000000001,20.0,0.004215261277287483,11.599990970244061
0.9000000000000001,20.0,0.0047952608257996856,12.956939086000586,0.9000000000000001,20.0,0.0047952608257996856,12.956939086000586
0.95,20.0,0.005443107780099715,14.47333871303276,0.95,20.0,0.005443107780099715,14.47333871303276
1.0,20.0,0.006166774715751353,16.167918938176392,1.0,20.0,0.006166774715751353,16.167918938176392
1.05,20.0,0.0069751706626601725,18.061607528403965,1.05,20.0,0.0069751706626601725,18.061607528403965
1.1,20.0,0.00787825103908037,20.177788734406963,1.1,20.0,0.00787825103908037,20.177788734406963
1.15,20.0,0.008887140475800718,22.54259124598687,1.15,20.0,0.008887140475800718,22.54259124598687
1.2000000000000002,20.0,0.010014270038100062,25.185209806623007,1.2000000000000002,20.0,0.010014270038100062,25.185209806623007
1.25,20.0,0.011273530528431212,28.138264397815366,1.25,20.0,0.011273530528431212,28.138264397815366
1.3000000000000003,20.0,0.01268044374832198,31.43820135219939,1.3000000000000003,20.0,0.01268044374832198,31.43820135219939
1.35,20.0,0.01425235381593195,35.12574125275177,1.35,20.0,0.01425235381593195,35.12574125275177
1.4,20.0,0.016008640878569538,39.24637902883571,1.4,20.0,0.016008640878569538,39.24637902883571
1.4500000000000002,20.0,0.017970959830011325,43.85094227399256,1.4500000000000002,20.0,0.017970959830011325,43.85094227399256
1.5,20.0,0.020163506943710954,48.99621449134296,1.5,20.0,0.020163506943710954,48.99621449134296
1.5500000000000003,20.0,0.022613317668278104,54.74563072674318,1.5500000000000003,20.0,0.022613317668278104,54.74563072674318
1.6,20.0,0.025350599204615264,61.170053884408986,1.6,20.0,0.025350599204615264,61.170053884408986
1.65,20.0,0.028409101898835713,68.3486409419529,1.65,20.0,0.028409101898835713,68.3486409419529
1.7000000000000002,20.0,0.03182653394593336,76.36980929941346,1.7000000000000002,20.0,0.03182653394593336,76.36980929941346
1.75,20.0,0.03564502441090403,85.33231461791927,1.75,20.0,0.03564502441090403,85.33231461791927
1.8000000000000003,20.0,0.039911640141799994,95.34645273630147,1.8000000000000003,20.0,0.039911640141799994,95.34645273630147
