x,y,z,c
-2.0,-2.0,24.0,2.8284271247461903
-1.95,-2.0,22.637003125,2.7932955446926844
-1.9,-2.0,21.346049999999995,2.758622844826744
-1.85,-2.0,20.124253125000003,2.7244265451650556
-1.8,-2.0,18.9688,2.6907248094147422
-1.75,-2.0,17.876953125,2.6575364531836625
-1.7,-2.0,16.846049999999998,2.6248809496813372
-1.65,-2.0,15.873503125,2.5927784324928345
-1.6,-2.0,14.956800000000003,2.5612496949731396
-1.55,-2.0,14.093503124999998,2.530316185775999
-1.5,-2.0,13.28125,2.5
-1.45,-2.0,12.517753125000002,2.470323865407125
-1.4,-2.0,11.800799999999999,2.4413111231467406
-1.35,-2.0,11.128253124999999,2.4129857024027306
-1.2999999999999998,-2.0,10.498049999999997,2.3853720883753127
-1.25,-2.0,9.908203125,2.358495283014151
-1.2,-2.0,9.356799999999998,2.33238075793812
-1.15,-2.0,8.842003125,2.3070543990118653
-1.1,-2.0,8.36205,2.2825424421026654
-1.0499999999999998,-2.0,7.915253124999996,2.258871399615303
-1.0,-2.0,7.5,2.23606797749979
-0.95,-2.0,7.114753125,2.2141589825484527
-0.8999999999999999,-2.0,6.758049999999998,2.1931712199461306
-0.8499999999999999,-2.0,6.428503125000001,2.173131381210073
-0.7999999999999998,-2.0,6.1248,2.1540659228538015
-0.75,-2.0,5.845703125,2.1360009363293826
-0.7,-2.0,5.5900500000000015,2.118962010041709
-0.6499999999999999,-2.0,5.356753124999997,2.1029740844813087
-0.5999999999999999,-2.0,5.144799999999998,2.0880613017821097
-0.5499999999999998,-2.0,4.953253125000002,2.074246851269154
-0.5,-2.0,4.78125,2.0615528128088303
-0.44999999999999996,-2.0,4.628003124999998,2.05
-0.3999999999999999,-2.0,4.492800000000001,2.039607805437114
-0.34999999999999987,-2.0,4.375003124999998,2.0303940504246953
-0.2999999999999998,-2.0,4.274049999999999,2.0223748416156684
-0.25,-2.0,4.189453125,2.0155644370746373
-0.19999999999999996,-2.0,4.1208,2.009975124224178
-0.1499999999999999,-2.0,4.067753125,2.005617112013158
-0.09999999999999987,-2.0,4.030049999999999,2.0024984394500787
-0.04999999999999982,-2.0,4.007503125,2.000624902374256
0.0,-2.0,4.0,2.0
0.050000000000000266,-2.0,4.007503125,2.000624902374256
0.10000000000000009,-2.0,4.030049999999999,2.0024984394500787
0.1499999999999999,-2.0,4.067753125,2.005617112013158
0.20000000000000018,-2.0,4.1208,2.009975124224178
0.25,-2.0,4.189453125,2.0155644370746373
0.30000000000000027,-2.0,4.274049999999999,2.0223748416156684
0.3500000000000001,-2.0,4.375003125000001,2.0303940504246953
0.40000000000000036,-2.0,4.492800000000001,2.039607805437114
0.4500000000000002,-2.0,4.628003125000001,2.0500000000000003
0.5,-2.0,4.78125,2.0615528128088303
0.5500000000000003,-2.0,4.953253125000002,2.074246851269154
0.6000000000000001,-2.0,5.144800000000001,2.08806130178211
0.6500000000000004,-2.0,5.356753125000002,2.102974084481309
0.7000000000000002,-2.0,5.5900500000000015,2.118962010041709
0.75,-2.0,5.845703125,2.1360009363293826
0.8000000000000003,-2.0,6.124800000000002,2.154065922853802
0.8500000000000001,-2.0,6.428503125000001,2.173131381210073
0.9000000000000004,-2.0,6.7580500000000026,2.193171219946131
0.9500000000000002,-2.0,7.114753125,2.2141589825484527
1.0,-2.0,7.5,2.23606797749979
1.0500000000000003,-2.0,7.915253125000003,2.2588713996153036
1.1,-2.0,8.36205,2.2825424421026654
1.1500000000000004,-2.0,8.842003125000002,2.3070543990118657
1.2000000000000002,-2.0,9.356800000000003,2.3323807579381204
1.25,-2.0,9.908203125,2.358495283014151
1.3000000000000003,-2.0,10.49805,2.3853720883753127
1.35,-2.0,11.128253124999999,2.4129857024027306
1.4000000000000004,-2.0,11.800800000000006,2.4413111231467406
1.4500000000000002,-2.0,12.517753125000004,2.470323865407125
1.5,-2.0,13.28125,2.5
1.5500000000000003,-2.0,14.093503125000005,2.530316185775999
1.6,-2.0,14.956800000000003,2.5612496949731396
1.6500000000000004,-2.0,15.873503125000006,2.592778432492835
1.7000000000000002,-2.0,16.84605,2.6248809496813377
1.75,-2.0,17.876953125,2.6575364531836625
1.8000000000000003,-2.0,18.968800000000005,2.6907248094147422
1.85,-2.0,20.124253125000003,2.7244265451650556
1.9000000000000004,-2.0,21.346050000000005,2.7586228448267445
1.9500000000000002,-2.0,22.637003125,2.7932955446926844
2.0,-2.0,24.0,2.8284271247461903
-2.0,-1.95,22.637003125,2.7932955446926844
-1.95,-1.95,21.313012499999996,2.7577164466275352
-1.9,-1.95,20.060078124999997,2.7225906780123963
-1.85,-1.95,18.8753125,2.6879360111431225
-1.8,-1.95,17.755903125000003,2.65377090194312
-1.75,-1.95,16.6991125,2.6201145013147804
-1.7,-1.95,15.702278124999996,2.586986664055306
-1.65,-1.95,14.762812499999999,2.55440795488896
-1.6,-1.95,13.878203125000002,2.5223996511258875
-1.55,-1.95,13.046012500000002,2.49098374141623
-1.5,-1.95,12.263878125,2.460182920028509
-1.45,-1.95,11.529512499999997,2.430020576044573
-1.4,-1.95,10.840703124999997,2.4005207768315606
-1.35,-1.95,10.1953125,2.3717082451262845
-1.2999999999999998,-1.95,9.591278124999999,2.3436083290515928
-1.25,-1.95,9.0266125,2.316246964380094
-1.2,-1.95,8.499403124999999,2.2896506283710623
-1.15,-1.95,8.0078125,2.2638462845343543
-1.1,-1.95,7.5500781250000015,2.2388613177238113
-1.0499999999999998,-1.95,7.124512499999998,2.21472345903501
-1.0,-1.95,6.729503125000001,2.191460700081113
-0.95,-1.95,6.363512500000001,2.169101196348386
-0.8999999999999999,-1.95,6.025078124999999,2.147673159491453
-0.8499999999999999,-1.95,5.712812499999997,2.1272047386182646
-0.7999999999999998,-1.95,5.425403124999997,2.1077238908357994
-0.75,-1.95,5.1616125,2.089258241577618
-0.7,-1.95,4.9202781249999985,2.0718349355100663
